lastName,name,declarationDate,job,ministry,declarationObject
ABBASI,Mbarek,13-nov.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBASI,Mohamed,15-mars-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,PREMIERE DECLARATION
ABBASI,Ameur,16-avr.-1993,ADMINISTRATEUR,MINISTERE DE L'AGRICULTURE,PREMIERE DECLARATION
ABBASI,Naiela,20-janv.-2000,MAGISTRAT,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
ABBASI,Naiela,7-déc.-1994,MAGISTRAT,MINISTERE DE LA JUSTICE,OBJET INNEXISTANT
ABBASI,Naiela,25-nov.-1993,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
ABBASSI,Nejiba,9-juil.-1987,AGENT,MINISTERE DES FINANCES,PREMIERE DECLARATION
ABBASSI,Ali,24-avr.-1993,DIRECTEUR ADJOINT DE L'ENSEIGNEMENT SECONDAIRE,MINISTERE DE L'EDUCATION ET DES SCIENCES,PREMIERE DECLARATION
ABBASSI,ALI,6-nov.-2010,DIRECTEUR,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR,PREMIERE DECLARATION
ABBASSI,ALI,3-mai-2011,DIRECTEUR,MINISTERE DU TRANSPORT ET DE L'EQUIPEMENT,PREMIERE DECLARATION
ABBEN,SONIA,7-mars-2007,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
ABBES,Mohamed Hechmi,6-juil.-1987,DELEGUE DES AFFAIRES SOCIALES,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABBES,Salah,8-janv.-1988,SOUS - DIRECTEUR,MINISTERE DU PLAN ET DES FINANCES,CHANGEMENT D'ADMINISTRATION
ABBES,Salah,6-juil.-1987,CONTROLEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBES,Mohamed,12-mars-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,RENOUVELLEMENT -5 ANS-
ABBES,Mohamed,6-juil.-1987,DIRECTEUR,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
ABBES,Rachid,8-juil.-1987,MAGISTRAT,PRESIDENCE DU GOUVERNEMENT,PREMIERE DECLARATION
ABBES,Ahmed,8-juil.-1987,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABBES,Mohamed,9-juil.-1987,PRESIDENT DIRECTEUR GENERAL,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
ABBES,Ezzeddine,9-juil.-1987,ADJUDANT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBES,Naceur,9-juil.-1987,COMPTABLE PUBLIC,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBES,Abderraouf,13-juil.-1987,AGENT AUXILIAIRE,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABBES,Mohamed Habib,21-juil.-1987,AMBASSADEUR,MINISTERE DES AFFAIRES ETRANGERES,PREMIERE DECLARATION
ABBES,Mohamed,21-avr.-1997,DIRECTEUR,MINISTERE DE L'INDUSTRIE,PREMIERE DECLARATION
ABBES,Samir,9-mai-2000,ADJUDANT CHEF,MINISTERE DES FINANCES,PREMIERE DECLARATION
ABBES,ALI,29-sept.-2005,RECEVEUR DES FINANCES,MINISTERE DES FINANCES,PREMIERE DECLARATION
ABBES,MONCEF,18-juin-2007,DIRECTEUR,MINISTERE DES INVESTISSEMENTS ET DE LA COOPE INTERN,PREMIERE DECLARATION
ABBES,SALAH,27-août-2010,DIRECTEUR,MINISTERE DES DOMAINES DE L'ETAT ET DES AFFAIRES FONCIERES,PREMIERE DECLARATION
ABBES,RAFIKA,12-nov.-2010,DIRECTEUR,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR,PREMIERE DECLARATION
ABBES,AHMED,8-déc.-2010,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
ABBES,ALI,30-janv.-2012,DIRECTEUR,"MINISTERE DE L'INDUSTRIE, DE L'ENERGIE ET DES MINES",PREMIERE DECLARATION
ABBES,ABDEL MAJID,1-mars-2012,SECRETAIRE GENERAL,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABBES,ZOUHAIR,31-juil.-2012,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABBESI,Ridha,9-juil.-1987,SECRETAIRE GENERAL,MINISTERE DU TRANSPORT ET DU TOURISME,PREMIERE DECLARATION
ABBESI,Hassen,9-juil.-1987,CHEF DE LA SECTION FINANCIERE,MINISTERE DU TRANSPORT,PREMIERE DECLARATION
